File Path: C:\Users\MTS\Desktop\SE171\Test Run 22 2-3-2017 3 07 22 PM\DAQ- Crosshead, … - (Timed).txt   
Test: MTS EM Tension (Extensometer-Crosshead) 171-2017-W
Test Run: Test Run 22
Date: 2/3/2017 2:12:21 PM


Crosshead 	Load 	Time 	Extensometer 
in	lbf	sec	in
0.000445517089676689	6.70762269609775	0.239999994635582	-8.46759082099118E-05
0.000844137624752209	15.5865584321675	0.439999997615814	-2.43678046419919E-05
0.00124275819563461	24.553458093851	0.639999985694885	3.7363597710096E-05
0.00164372361573119	33.2675488887585	0.839999973773956	9.43526990920685E-05
0.00203999933739941	41.9923697003592	1.03999996185303	0.000155155445586782
0.00244096461426848	50.4901107021563	1.24000000953674	0.000219514352172305
0.00284193003436507	59.0000190214757	1.44000005722046	0.000275859643649502
0.00324055053363371	67.4088531905814	1.63999998569489	0.000332032775657167
0.00363682639852943	75.7169116466379	1.8400000333786	0.000393094710238446
0.00403779181862602	84.0400017309393	2.03999996185303	0.000450853066446488
0.0044387572387226	92.2868016709759	2.24000000953674	0.000510593297546197
0.00483737745153622	100.578031015172	2.44000005722046	0.00056835451830448
0.00523599852371492	108.734359900135	2.64000010490417	0.000623318469944764
0.00563461902298354	116.950376218111	2.83999991416931	0.000685688895269618
0.00603792879099803	125.03991692372	3.03999996185303	0.000741967353208988
0.00643654986317673	132.917464332766	3.24000000953674	0.000794922932867862
0.00683517036244535	140.740140467187	3.44000005722046	0.000852386312014752
0.00723379086171402	148.760388865504	3.64000010490417	0.000910633933404095
0.00763710120263854	156.649475844932	3.83999991416931	0.000966718318064579
0.00803337678107925	164.343748531506	4.03999996185303	0.00102497023627928
0.00843199728034788	172.208082377795	4.23999977111816	0.001079176693415
0.00883061777961654	179.938537997899	4.44000005722046	0.00113692538176597
0.00923392812054106	187.802336715478	4.6399998664856	0.00119778454199701
0.0096348929677276	195.557655238712	4.84000015258789	0.00125252917650941
0.0100311691190783	203.129191353263	5.03999996185303	0.0013037216971082
0.0104321339662649	210.862446108156	5.23999977111816	0.00136502106709765
0.0108330999592715	218.54460293189	5.44000005722046	0.00141860863815363
0.011234064806458	226.027897694324	5.6399998664856	0.00147454456749783
0.0116303409578088	233.533681583818	5.84000015258789	0.00153212460545332
0.0120313058049954	241.051910646126	6.03999996185303	0.00158734869406243
0.0124299274500841	248.57046901841	6.23999977111816	0.00164708187120717
0.0128308922972706	256.056974553101	6.44000005722046	0.00169903779444541
0.0132295127965393	263.401684700953	6.6399998664856	0.00175737765435254
0.0136304787895459	270.83986399678	6.84000015258789	0.00181450566627987
0.0140314436367324	278.067833758407	7.03999996185303	0.00187192543264933
0.0144300641360011	285.390507580418	7.23999977111816	0.00192854441399869
0.0148286846352697	292.500447158419	7.44000005722046	0.001977687492127
0.0152273051345383	299.701742812051	7.6399998664856	0.00204233638071419
0.015628271127545	306.866073420965	7.84000015258789	0.00209527140722508
0.0160268916268136	314.069344934451	8.03999996185303	0.00215215750788448
0.0164278564740002	321.037187258133	8.23999977111816	0.00220751809231262
0.0168264769732688	328.249789220918	8.4399995803833	0.00226492239011078
0.0172297873141933	335.267851315826	8.64000034332275	0.00231910421211441
0.017628407813462	342.155149908065	8.84000015258789	0.00237683406604755
0.0180270283127306	349.03385899845	9.03999996185303	0.00243097678694038
0.0184256488119993	355.933479272262	9.23999977111816	0.002489671994305
0.0188266148050059	362.832742793601	9.4399995803833	0.00254765220992927
0.0192252341584544	369.666336417378	9.64000034332275	0.00260002506845521
0.0196215114556253	376.371691248293	9.84000015258789	0.00265120111789012
0.0200224751569917	383.005448602094	10.039999961853	0.00270806387246506
0.0204234411499984	389.875238880648	10.2399997711182	0.00275773832466321
0.020824407143005	396.454330778556	10.4399995803833	0.00281994518416926
0.0212230264964535	402.985425747573	10.6400003433228	0.00287600672404157
0.0216216481415423	409.52343622607	10.8400001525879	0.00292527727465563
